id,created_date,name,description,points_cost,units_available,status,image_url,original_stock,original_sizes,updated_at
1779802483470_agzaa0,2026-06-09 19:36:46.364866+00,Boxer Chess King,,100,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802466542_rbr78y.png,0,,2026-06-10 08:44:02.000889+00
1779802513851_np2fpf,2026-06-09 19:36:46.364866+00,"Boxer Chess King ","Talla s   (Unidades 3)
Talla M  (Unidades 1)
Talla L.  (Unidades 4) 
Talla XL (Unidades 8)",300,16,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1780957688227_4fc8qp.png,0,,2026-06-10 08:44:02.000889+00
1779802550073_jtgse9,2026-06-09 19:36:46.364866+00,"Gorra Chess King By Anyuri ",,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802521578_wppte9.png,0,,2026-06-10 08:44:02.000889+00
1779802598821_706d8u,2026-06-09 19:36:46.364866+00,Gorra Chess King,Color gris unicamente,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802566894_88qdy5.png,0,,2026-06-10 08:44:02.000889+00
1779802633427_u9m3gj,2026-06-09 19:36:46.364866+00,Gorra Chess King,,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802612204_28yo08.png,0,,2026-06-10 08:44:02.000889+00
1779802686096_saghys,2026-06-09 19:36:46.364866+00,Gorra Chess King,,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802675056_1ca6a5.png,0,,2026-06-10 08:44:02.000889+00
1779802708462_pgi7d4,2026-06-09 19:36:46.364866+00,Gorra Chess King,,500,2,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802693686_7t2h9e.png,0,,2026-06-10 08:44:02.000889+00
1779802727594_dbfsm4,2026-06-09 19:36:46.364866+00,Gorra Chess King,,500,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802714222_jplnat.png,0,,2026-06-10 08:44:02.000889+00
1779802789137_r7v7g9,2026-06-09 19:36:46.364866+00,Jogger - Chess King,Talla L,200,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802775853_19dmr7.png,0,"{""M"": 0, ""S"": 0}",2026-06-10 08:44:02.000889+00
1779802811271_ky91ks,2026-06-09 19:36:46.364866+00,Jogger - Chess King,Talla XL,200,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802795218_39vlw2.png,0,,2026-06-10 08:44:02.000889+00
1779802833794_f56ojn,2026-06-09 19:36:46.364866+00,Pantalon Playero - Chess King,,100,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802817887_nv9q0n.png,0,,2026-06-10 08:44:02.000889+00
1779802859802_msozau,2026-06-09 19:36:46.364866+00,Pantalon Playero - Chess King,,100,1,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779802838974_r52xzo.png,0,,2026-06-10 08:44:02.000889+00
1779805689768_5rt5tb,2026-06-09 19:36:46.364866+00,Pantalon Playero - Chess King,,100,0,active,https://khrxddafhzvfdyivysay.supabase.co/storage/v1/object/public/banners/1779805661026_6swo69.png,0,,2026-06-10 08:44:02.000889+00
